date,weekend,value,quarter,month,day
2018-04-03,0,12.854999999999999,2,4,3
2018-04-04,0,15.547,2,4,4
2018-04-05,0,10.872,2,4,5
2018-04-06,0,39.506,2,4,6
2018-04-07,1,22.372,2,4,7
2018-04-08,1,25.065,2,4,8
2018-04-09,0,19.513,2,4,9
2018-04-10,0,57.122,2,4,10
2018-04-11,0,18.645,2,4,11
2018-04-12,0,9.943,2,4,12
2018-04-13,0,14.547,2,4,13
2018-04-14,1,8.962,2,4,14
2018-04-15,1,8.923,2,4,15
2018-04-16,0,8.336,2,4,16
2018-04-17,0,8.458,2,4,17
2018-04-18,0,13.201,2,4,18
2018-04-19,0,13.32,2,4,19
2018-04-20,0,12.418,2,4,20
2018-04-21,1,8.516,2,4,21
2018-04-22,1,8.447,2,4,22
2018-04-23,0,11.609,2,4,23
2018-04-24,0,14.914,2,4,24
2018-04-25,0,14.009,2,4,25
2018-04-26,0,9.942,2,4,26
2018-04-27,0,10.623,2,4,27
2018-04-28,1,23.53,2,4,28
2018-04-29,1,15.001,2,4,29
2018-04-30,0,16.78,2,4,30
2018-05-01,0,12.39,2,5,1
2018-05-02,0,8.924,2,5,2
2018-05-03,0,14.073,2,5,3
2018-05-04,0,10.006,2,5,4
2018-05-05,1,31.471,2,5,5
2018-05-06,1,37.481,2,5,6
2018-05-07,0,31.073,2,5,7
2018-05-08,0,27.230999999999998,2,5,8
2018-05-09,0,20.82,2,5,9
2018-05-10,0,50.037,2,5,10
2018-05-11,0,16.649,2,5,11
2018-05-12,1,10.017,2,5,12
2018-05-13,1,34.243,2,5,13
2018-05-14,0,27.917,2,5,14
